2025-08-22 15:10:12.3305 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/metrics - - - 
2025-08-22 15:10:12.4044 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/metrics - 200 - text/plain;+version=0.0.4;+charset=utf-8 74.0121ms 
2025-08-22 15:10:12.4541 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/favicon.ico - - - 
2025-08-22 15:10:12.4551 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/favicon.ico - 404 0 - 11.9373ms 
2025-08-22 15:10:12.4596 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request reached the end of the middleware pipeline without being handled by application code. Request path: GET https://localhost:8081/favicon.ico, Response status code: 404 
2025-08-27 20:56:05.2582 | WARN | Microsoft.AspNetCore.Hosting.Diagnostics | Overriding HTTP_PORTS '8080' and HTTPS_PORTS ''. Binding to values defined by URLS instead 'https://+:443;http://+:80'. 
2025-08-27 20:56:05.2686 | WARN | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The WebRootPath was not found: /app/wwwroot. Static files may be unavailable. 
2025-08-27 20:56:05.4532 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://[::]:443 
2025-08-27 20:56:05.4534 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://[::]:80 
2025-08-27 20:56:05.4534 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-08-27 20:56:05.4534 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Production 
2025-08-27 20:56:05.4534 | INFO | Microsoft.Hosting.Lifetime | Content root path: /app 
2025-08-27 20:56:38.9451 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/index.html - - - 
2025-08-27 20:56:39.0632 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/index.html - 200 - text/html;charset=utf-8 119.3645ms 
2025-08-27 20:56:39.1660 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/swagger-ui.css - - - 
2025-08-27 20:56:39.1660 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/swagger-ui-bundle.js - - - 
2025-08-27 20:56:39.1660 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/index.js - - - 
2025-08-27 20:56:39.1660 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/index.css - - - 
2025-08-27 20:56:39.1691 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/swagger-ui-standalone-preset.js - - - 
2025-08-27 20:56:39.1691 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/index.js - 200 - application/javascript;charset=utf-8 3.0057ms 
2025-08-27 20:56:39.1751 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' 
2025-08-27 20:56:39.1751 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/index.css - 200 202 text/css 9.3878ms 
2025-08-27 20:56:39.1971 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2025-08-27 20:56:39.1971 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2025-08-27 20:56:39.2012 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/swagger-ui-standalone-preset.js - 200 229223 text/javascript 32.4708ms 
2025-08-27 20:56:39.2012 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/swagger-ui.css - 200 154949 text/css 35.6701ms 
2025-08-27 20:56:39.2314 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2025-08-27 20:56:39.2320 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/swagger-ui-bundle.js - 200 1484234 text/javascript 65.5381ms 
2025-08-27 20:56:39.5150 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/swagger/v1/swagger.json - - - 
2025-08-27 20:56:39.5243 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultActionDescriptorCollectionProvider | No action descriptors found. This may indicate an incorrectly configured application or missing application parts. To learn more, visit https://aka.ms/aspnet/mvc/app-parts 
2025-08-27 20:56:39.5831 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/swagger/v1/swagger.json - 200 - application/json;charset=utf-8 67.2202ms 
2025-08-27 20:56:39.6375 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:8081/apple-touch-icon-precomposed.png - - - 
2025-08-27 20:56:39.6469 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:8081/apple-touch-icon-precomposed.png - 404 0 - 9.4515ms 
